,a) Pre-school children,b) Primary school children,c) Secondary school children,d) Students,e) Non-studying adolescents,f) Middle-age working,g) Middle-age unemployed,h) Higher-age working,i) Higher-age unemployed,j) Elderly,k) Eldest
1702,520,760,710,760,380,3530,550,1520,720,1420,700
1705,2040,3750,3060,2670,1290,14830,2050,5230,3110,6340,2050
1706,850,1450,1060,1040,720,6300,990,2240,1470,3210,1060
1708,2160,3200,2720,2450,1420,13280,2390,4610,3170,6040,2390
1709,1660,2740,2140,1900,1210,11970,1960,3850,2500,5230,1820
1711,1170,1840,1540,1460,930,9230,2040,3610,2860,5040,1890
1714,900,1380,1140,790,900,6790,1310,2540,1820,4140,1730
1719,1150,1880,1480,1430,940,8780,1180,3110,1920,3990,1280
1721,1410,2300,2030,1960,1090,9850,1310,3340,1900,3990,1580
1722,470,740,580,460,260,2610,460,870,620,1160,390
1723,450,730,580,560,330,3170,390,1280,660,1460,520
1724,780,1290,1120,1020,730,5860,730,2190,1160,2640,940
1728,920,1430,1280,1110,710,6610,800,2350,1140,2750,1050
1729,480,730,620,660,400,4040,710,1870,1240,2520,940
1730,1720,2780,2120,1690,660,9750,1670,3870,2300,4900,2220
1731,1380,2290,2080,1850,1070,9920,1690,3820,2380,4960,1770
1734,2500,3910,3300,2760,1420,15570,2260,4990,2840,5990,1950
1735,1390,2490,2210,2130,1010,10520,1520,3740,2170,5480,2300
1740,1660,2280,1720,1290,1410,7220,1340,2100,1290,2600,890
1742,2390,3630,2760,2380,1510,12040,1960,3300,2030,4360,1910
1771,1920,2860,2300,2170,1250,12380,2420,4030,2620,5480,2150
1773,800,1310,1160,1060,580,5550,920,2210,1080,2450,920
1774,1120,1850,1860,1860,850,8230,920,3110,1560,3380,1600
1783,5500,8560,6440,6050,4670,37190,4940,11320,5820,13230,5010
1842,1010,1640,1230,1330,610,6400,720,2360,960,2200,920
1859,1680,3060,2790,2530,1310,13190,1920,5070,2910,6960,2540
1876,1230,2390,2360,2120,1070,10460,1420,4620,2540,5880,2180
1883,3570,5510,4410,4710,3320,26470,7770,9370,8420,13390,5710
1884,1220,2000,1610,1520,890,8880,1050,3310,1500,3570,1220
1891,960,1510,1150,1090,710,5460,1200,1810,1440,2640,980
1892,2430,3550,2680,2500,1460,13830,2100,4620,2520,4970,1800
1894,1820,2960,2470,2340,1530,14060,1860,5200,2720,6210,2170
1895,1440,2520,2170,1980,1180,10420,3160,3780,3220,5930,2220
1896,1400,2220,1660,1380,1040,7260,1090,1970,1190,2500,800
1900,4180,7090,5870,5050,2820,27050,5250,9190,5760,12770,4660
1901,1940,2820,2230,2040,1210,11080,1520,3650,1800,4470,1560
1903,1180,1540,1360,1410,770,7840,1020,3080,1890,4000,1540
1904,3320,5380,3820,3480,1930,20760,3420,7050,4070,8460,2790
1911,2240,3580,2970,2670,1760,15190,2460,4980,3190,6470,2110
1916,3890,5820,4020,3560,2000,23140,5270,7310,4940,10580,4790
1924,2410,3760,3050,2500,1900,15700,2530,4950,3360,6700,2690
1926,2960,5310,4260,3570,1550,19210,2700,5090,2400,4920,2050
1927,1700,2790,2180,1810,1570,9120,1320,2750,1460,3480,1090
1930,4120,6200,4510,4610,3120,26290,6150,8780,6640,10610,3550
1931,2920,4360,3510,3350,2220,17570,2760,5770,3200,7520,2790
1940,2250,4050,3360,2850,1580,15880,2430,5510,3300,7590,2730
1942,3030,5320,4000,3020,1420,17580,3310,5640,3180,7280,3740
1945,1350,2180,1940,1830,1180,10110,2110,3940,2610,5320,2160
1948,3900,5860,4900,4660,2710,26390,3930,8680,5330,10410,3900
1949,2100,3480,3020,2600,1450,13880,2720,4900,3220,6460,2190
1950,970,1740,1410,1140,840,6420,1960,2710,2290,4220,1560
1952,2640,4410,3530,3310,1970,17630,4950,6090,4830,8670,2920
1955,1440,2250,2140,2090,1180,10940,1970,3960,2660,5360,1950
